,name,phone,address,category_alias,category_title,rating,review_count,is_closed,lat,lon
31,Onefold,+13039540877,"1420 E 18th Ave  Denver, CO 80218","breakfast_brunch, cafes, ","Breakfast & Brunch, Cafes, ",4.5,832,False,39.744667,-104.969325
32,City O' City,+13038316443,"206 E 13th Ave  Denver, CO 80203","breakfast_brunch, vegan, tradamerican, ","Breakfast & Brunch, Vegan, American (Traditional), ",4.0,2352,False,39.7367226482267,-104.984684393258
33,5280 Burger Bar - Denver,+13038251020,"500 16th St  Ste 160  Denver, CO 80202","burgers, tradamerican, sportsbars, ","Burgers, American (Traditional), Sports Bars, ",4.0,1716,False,39.74388,-104.99082
34,Ophelia's Electric Soapbox,+13039938023,"1215 20th St  Denver, CO 80202","bars, breakfast_brunch, venues, ","Bars, Breakfast & Brunch, Venues & Event Spaces, ",4.5,983,False,39.752632179521115,-104.99197956441787
35,Nola Voodoo Tavern,+17203899544,"2231 E Bruce Randolph  Denver, CO 80205","cafes, bars, seafood, ","Cafes, Bars, Seafood, ",4.5,239,False,39.764695,-104.960311
36,Nocturne,+13032953333,"1330 27th St  Denver, CO 80205","jazzandblues, newamerican, cocktailbars, ","Jazz & Blues, American (New), Cocktail Bars, ",4.5,301,False,39.7595901,-104.9845123
37,Panzano,+13032963525,"909 17th St  Denver, CO 80202","italian, bars, breakfast_brunch, ","Italian, Bars, Breakfast & Brunch, ",4.5,1081,False,39.747833,-104.992822
38,Denver Biscuit Company,+13033777900,"2501 Dallas St  Aurora, CO 80010","sandwiches, pizza, cocktailbars, ","Sandwiches, Pizza, Cocktail Bars, ",4.5,1056,False,39.75223,-104.87738
39,Cart-Driver,+13032923553,"2500 Larimer St  Ste 100  Denver, CO 80205","pizza, italian, bars, ","Pizza, Italian, Bars, ",4.5,531,False,39.7575443618608,-104.98618460866
40,Cherry Cricket,+13033227666,"2641 E 2nd Ave  Denver, CO 80206","burgers, sportsbars, newamerican, ","Burgers, Sports Bars, American (New), ",4.0,2741,False,39.7196942925966,-104.956333474869
41,Yahya's Mediterranean Grill & Pastries,+17205328746,"2207 E Colfax Ave  Denver, CO 80206","mediterranean, mideastern, greek, ","Mediterranean, Middle Eastern, Greek, ",4.5,475,False,39.740169467754185,-104.9607666
42,Rosenberg's Bagels & Delicatessen,+17204409880,"725 E 26th Ave  Denver, CO 80205","delis, bagels, breakfast_brunch, ","Delis, Bagels, Breakfast & Brunch, ",4.0,898,False,39.75476,-104.97734
43,Jax Fish House LoDo,+13032925767,"1539 17th St  Denver, CO 80202","seafood, cajun, newamerican, ","Seafood, Cajun/Creole, American (New), ",4.5,1031,False,39.7521259302617,-104.998515626984
44,Prodigy Coffeehouse,+17204413187,"3801 E 40th Ave  Denver, CO 80205","coffee, cafes, ","Coffee & Tea, Cafes, ",4.5,146,False,39.77316,-104.94212
45,Hop Alley,+17203798340,"3500 Larimer St  Denver, CO 80205","chinese, asianfusion, bars, ","Chinese, Asian Fusion, Bars, ",4.0,442,False,39.76702,-104.97418
46,Postino LoHi,+13034336363,"2715 17th St  Denver, CO 80211","italian, wine_bars, breakfast_brunch, ","Italian, Wine Bars, Breakfast & Brunch, ",4.5,745,False,39.76151,-105.01045
47,Vine Street Pub & Brewery,+13033882337,"1700 Vine St  Denver, CO 80206","tradamerican, pubs, breweries, ","American (Traditional), Pubs, Breweries, ",4.0,924,False,39.7434,-104.96201
48,Jelly,+13038316301,"600 E 13th Ave  Denver, CO 80203","newamerican, breakfast_brunch, coffee, ","American (New), Breakfast & Brunch, Coffee & Tea, ",4.0,1768,False,39.7367338,-104.9796458
49,La Loma | Denver,+13034338300,"1801 Broadway  Unit 116  Denver, CO 80202","mexican, tex-mex, ","Mexican, Tex-Mex, ",4.0,1595,False,39.74493,-104.98781
