,LoanNumber,DateApproved,BorrowerName,BorrowerAddress,BorrowerZip,LoanStatusDate,LoanStatus,Term,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,RuralUrbanIndicator,BusinessAgeDescription,CD,JobsReported,Race,Ethnicity,BusinessType,Gender,Veteran,ForgivenessAmount,ForgivenessDate
670107,3955357709,05/01/2020,"MOUNTAIN STATES EMERGENCY MEDICAL SERVICES, LLC",1230 S. PARKER ROAD SUITE 100,80231,05/08/2021,Paid in Full,24,148352.0,148352.0,0.0,U,Existing or more than 2 years old,CO-01,22.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,149778.62,04/23/2021
670112,1903697302,04/28/2020,"NPLH, LLC",1336 E 17TH AVE,80218,06/22/2021,Paid in Full,24,148292.0,148292.0,0.0,U,Existing or more than 2 years old,CO-01,30.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,149811.99,05/06/2021
670132,1625648402,02/02/2021,PIVOTAL ARCHITECTURE PC,763 SANTA DR,80204,09/25/2021,Paid in Full,60,148192.0,148192.0,0.0,U,Existing or more than 2 years old,CO-01,12.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,148970.01,08/13/2021
670135,4505307103,04/13/2020,1037 BROADWAY INC,1037 BROADWAY,80203-2772,05/18/2021,Paid in Full,24,148162.0,148162.0,0.0,U,Existing or more than 2 years old,CO-01,30.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,149676.54,04/26/2021
670136,9193607200,04/28/2020,EAST EVANS LUCILE'S LLP,2095 S OGDEN ST,80210-4134,05/04/2021,Paid in Full,24,148162.0,148162.0,0.0,U,Unanswered,CO-01,34.0,Unanswered,Unknown/NotStated,Limited Liability Partnership,Unanswered,Unanswered,149269.1,01/26/2021
670144,8310707702,05/01/2020,"STANDARD ALCOHOL COMPANY OF AMERICA, INC",770 SHERMAN ST N,80203,02/25/2021,Paid in Full,24,148120.0,148120.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,149091.01,01/07/2021
670146,2332267204,04/16/2020,M&M CUT FLORA INC.,80 E 62ND AVE,80216-1281,03/11/2021,Paid in Full,24,148100.0,148100.0,0.0,U,Existing or more than 2 years old,CO-07,11.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,138840.37,11/03/2020
670158,6795737110,04/14/2020,GLORY SPORTS USA INC.,2101 Larimer St Ste 101,80205,,Exemption 4,4,148008.0,148008.0,0.0,U,Existing or more than 2 years old,CO-01,12.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,,
670183,7850417008,04/08/2020,"UNIQUE PROPERTIES, INC.",400 S Broadway,80209-1518,04/21/2021,Paid in Full,60,147900.0,147900.0,0.0,U,Existing or more than 2 years old,CO-01,11.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,149285.8,03/18/2021
670185,8856307005,04/09/2020,"PEORIA HOSPITALITY, LLC",4411 PEORIA ST,80239-4817,05/18/2021,Paid in Full,24,147900.0,147900.0,0.0,U,Existing or more than 2 years old,CO-01,32.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,149432.41,04/29/2021
670191,4560297704,05/01/2020,WILLIAM CARUSO &AMP; PARTNERS,8055 EAST TUFTS,80237,04/10/2021,Paid in Full,24,147844.0,147844.0,0.0,U,New Business or 2 years or less,CO-01,9.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Veteran,149038.9,02/26/2021
670198,9020197003,04/09/2020,"LINC ENERGY SYSTEMS, INC.",12450 W Cedar Drive,80228-2002,05/20/2021,Paid in Full,60,147800.0,147800.0,0.0,U,Existing or more than 2 years old,CO-07,13.0,White,Not Hispanic or Latino,Subchapter S Corporation,Male Owned,Non-Veteran,149342.79,05/04/2021
670223,6699687304,04/30/2020,EDENS MOVING SERVICES INC,220 MONACO PKWY,80220,05/12/2021,Paid in Full,24,147629.0,147629.0,0.0,U,Existing or more than 2 years old,CO-01,16.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,148943.5,04/02/2021
670227,8623297003,04/08/2020,F4,1085 S Gaylord St,80209-4635,02/10/2021,Paid in Full,24,147600.0,147600.0,0.0,U,Existing or more than 2 years old,CO-01,24.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,148712.05,01/11/2021
670228,9986567005,04/09/2020,ST. CHARLES TOWN COMPANY,"1850 PLATTE ST., Suite 200",80202-1036,10/13/2021,Paid in Full,24,147600.0,147600.0,0.0,U,Existing or more than 2 years old,CO-01,7.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,149694.71,09/15/2021
670246,9373027004,04/09/2020,MIZUNA LLC,225 E. 7th Avenue,80203-3504,04/20/2021,Paid in Full,60,147500.0,147500.0,0.0,U,Existing or more than 2 years old,CO-01,21.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,148894.18,03/25/2021
670263,3827397106,04/12/2020,"VKGG, INC.",706 S. PEARL ST,80209-4213,05/21/2021,Paid in Full,24,147401.0,147401.0,0.0,U,Existing or more than 2 years old,CO-01,15.0,Unanswered,Unknown/NotStated,Corporation,Male Owned,Unanswered,148806.36,04/06/2021
670277,4819377007,04/04/2020,AKI ENTERPRISES INC,2181 South Grape St,80222-5203,04/21/2021,Paid in Full,24,147300.0,147300.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Asian,Not Hispanic or Latino,Subchapter S Corporation,Male Owned,Non-Veteran,148748.45,03/29/2021
670297,3743607307,04/29/2020,"MILE HIGH COMICS, INC.",4600 Jason Street,80211-2324,11/20/2020,Paid in Full,24,147100.0,147100.0,0.0,U,Existing or more than 2 years old,CO-01,21.0,Unanswered,Not Hispanic or Latino,Self-Employed Individuals,Male Owned,Non-Veteran,147839.59,11/03/2020
670301,1722937706,05/01/2020,"OPENTENT, LLC",1001 BANNOCK ST UNIT 136,80204,07/22/2021,Paid in Full,24,147070.0,147070.0,0.0,U,Existing or more than 2 years old,CO-01,11.0,White,Not Hispanic or Latino,Corporation,Female Owned,Non-Veteran,148735.49,06/22/2021
670303,9842467207,04/28/2020,WET WHISTLE LIMITED,2036 N Broadway,80205,08/13/2021,Paid in Full,24,147052.0,147052.0,0.0,U,Existing or more than 2 years old,CO-01,32.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,148796.48,07/15/2021
670370,2919097102,04/11/2020,"GEOFFREY S. GULINSON & ASSOCIATES, P.C.",4155 E Jewell Ave,80222-4500,07/21/2021,Paid in Full,24,146563.0,146563.0,0.0,U,Unanswered,CO-01,10.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,148185.23,06/03/2021
670396,2162197704,05/01/2020,MYKU BIOSCIENCES LLC,3715 E 40TH AVE,80205,01/20/2021,Paid in Full,24,146320.0,146320.0,0.0,U,Existing or more than 2 years old,CO-01,18.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,147172.4,12/02/2020
670400,3271617104,04/11/2020,PRO-VISIONS LLC,6562 Vine Court,80229-7411,04/20/2021,Paid in Full,24,146300.0,146300.0,0.0,U,Existing or more than 2 years old,CO-07,10.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Male Owned,Non-Veteran,147726.42,04/08/2021
670406,3444067104,04/11/2020,ZUPKUS & ANGELL PC,789 SHERMAN ST STE 500,80203-3523,03/19/2021,Paid in Full,24,146262.0,146262.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,147496.21,02/24/2021
670424,6458457108,04/14/2020,NATIONAL ESSENTIALS,2274 OLIVE ST S,80224,02/25/2021,Paid in Full,24,146140.0,146140.0,0.0,U,Existing or more than 2 years old,CO-01,24.0,White,Not Hispanic or Latino,Corporation,Female Owned,Veteran,101336.19,12/15/2020
670434,8843657006,04/08/2020,WATERMARK INCORPORATED,2322 CENTRAL PARK BLVD,80238-3234,06/12/2021,Paid in Full,24,146100.0,146100.0,0.0,U,Existing or more than 2 years old,CO-01,12.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,147711.16,05/20/2021
670439,5453237108,04/13/2020,DELIVERY BY DESIGN,6260 WASHINGTON ST,80216-1112,04/10/2021,Paid in Full,24,146052.0,146052.0,0.0,U,Existing or more than 2 years old,CO-07,10.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,147364.47,03/18/2021
670478,5891527003,04/06/2020,HOPE ROAD HOSPITALITY LLC,1052 S GAYLORD STREET,80209-4636,02/10/2021,Paid in Full,24,145800.0,145800.0,0.0,U,Existing or more than 2 years old,CO-01,24.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Male Owned,Non-Veteran,146870.53,01/07/2021
670479,6701937002,04/07/2020,TOPO DESIGNS RETAIL LLC,2399 BLAKE ST STE 125,80205-2108,12/15/2020,Paid in Full,24,145800.0,145800.0,0.0,U,Existing or more than 2 years old,CO-01,23.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,146666.7,11/12/2020
670492,5125587109,04/13/2020,"DENVER YOUTH DENTISTRY, PC",1400 Grove Street,80204-2229,07/20/2021,Paid in Full,24,145636.0,145636.0,0.0,U,Existing or more than 2 years old,CO-01,12.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,147283.88,06/17/2021
670531,4125377307,04/29/2020,"REAL V, LLC",3355 BRYANT ST,80211,08/11/2021,Paid in Full,24,145400.0,145400.0,0.0,U,Existing or more than 2 years old,CO-01,15.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Non-Veteran,147160.73,07/22/2021
670548,7249867100,04/14/2020,CORNERSTONE CPA GROUP PC,4949 S Syracuse St #300,80237-2724,05/04/2021,Paid in Full,24,145272.5,145272.5,0.0,U,Unanswered,CO-01,8.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,138096.14,11/20/2020
670556,6491487010,04/07/2020,B&T INC,HURON ST,80223-2830,04/17/2021,Paid in Full,24,145200.0,145200.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,Unanswered,Unknown/NotStated,Corporation,Male Owned,Non-Veteran,146587.47,03/29/2021
670558,6690987108,04/14/2020,FIVEFIFTY LTD,3001 BRIGHTON BLVD STE 2793,80216-5238,01/16/2021,Paid in Full,24,135300.0,145200.0,0.0,U,Existing or more than 2 years old,CO-01,11.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,136108.84,12/16/2020
670589,3567897106,04/11/2020,MODERN FIXTURE & SEEGMILLER REAL,6535 Franklin Street,80229-7231,07/13/2021,Paid in Full,24,145000.0,145000.0,0.0,U,Existing or more than 2 years old,CO-07,10.0,Unanswered,Unknown/NotStated,Partnership,Male Owned,Non-Veteran,146728.08,07/06/2021
670594,4366087108,04/13/2020,"NEW HEALTH SERVICES, LLC",3513 Brighton Blvd Unit 540,80216-3605,10/19/2021,Paid in Full,24,145000.0,145000.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,146864.86,07/22/2021
670595,4439077107,04/13/2020,"IROK, LLC",1125 S Lipan St.,80223-3004,06/23/2021,Paid in Full,24,145000.0,145000.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,146526.53,05/05/2021
670597,5288278002,06/27/2020,MAX ROCK VAC. LLC,5595 FEDERAL BLVD STE B,80221,07/22/2021,Paid in Full,60,145000.0,145000.0,0.0,U,Existing or more than 2 years old,CO-07,13.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Male Owned,Unanswered,146377.58,06/15/2021
670611,9542837002,04/09/2020,SKYLINE SOCCER ASSOCIATION,2130 S BELLAIRE ST,80222-4910,01/21/2021,Paid in Full,24,145000.0,145000.0,0.0,U,Existing or more than 2 years old,CO-01,11.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,145953.42,12/17/2020
670612,9645227010,04/09/2020,DBTL CAPITAL CORP,2518 S. DELAWARE ST,80223-4416,04/07/2021,Paid in Full,24,145000.0,145000.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,Unanswered,Not Hispanic or Latino,Corporation,Male Owned,Veteran,146284.86,03/03/2021
670630,7255527001,04/07/2020,WALL MANAGEMENT LLC,"4201 E. YALE AVE, #140",80222-6535,05/13/2021,Paid in Full,24,144758.0,144758.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,146245.79,04/21/2021
670631,5607247202,04/27/2020,FRNDLY TV INC,"1777 S. Harrison St, Ste. 300",80210,04/15/2021,Paid in Full,24,144737.0,144737.0,0.0,U,New Business or 2 years or less,CO-01,13.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,145946.45,03/09/2021
670645,5608477007,04/06/2020,"TIPSY ELEPHANT, LLC",1310 PEARL ST,80203-2519,,Exemption 4,24,144600.0,144600.0,0.0,U,Existing or more than 2 years old,CO-01,20.0,Unanswered,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,69847.8,08/18/2021
670647,1337857710,05/01/2020,"STEELE ATHLETICS, INC.",2200 E 77TH AVE UNIT 300,80229,05/21/2021,Paid in Full,24,144592.0,144592.0,0.0,U,Existing or more than 2 years old,CO-07,37.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,145985.38,04/21/2021
670663,8852357001,04/09/2020,RAW CREATIVE LLC,3795 E 38TH AVE,80205-3816,02/10/2021,Paid in Full,24,144500.0,144500.0,0.0,U,Existing or more than 2 years old,CO-01,12.0,Unanswered,Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,145652.04,01/26/2021
670665,6401297009,04/06/2020,"WHEELHOUSE CONSTRUCTION, INC.",574 SANTA FE DR STE 210,80204-5026,03/12/2021,Paid in Full,24,119500.0,144474.0,0.0,U,Existing or more than 2 years old,CO-01,12.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,145689.16,02/17/2021
670669,9568807100,04/15/2020,"PEAK CREATIVE MEDIA, INC.",3330 LARIMER ST,80205,01/22/2021,Paid in Full,24,144432.0,144432.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,145334.7,12/02/2020
670680,3576867110,04/11/2020,NEW AMERICA COLLEGE,925 S Niagara St,80224-1604,08/19/2021,Paid in Full,24,144370.0,144370.0,0.0,U,Unanswered,CO-01,18.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,146205.28,08/05/2021
670682,1944168005,06/23/2020,MUNDUS BISHOP DESIGN,1525 RALEIGH STREET SUITE 310,80204-1302,08/12/2021,Paid in Full,60,144364.0,144364.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,145930.25,07/27/2021
670690,8971867004,04/09/2020,TOUCHSTONE GRANITE & MARBLE INC,6051 N Washington St Unit A,80216-1152,09/29/2021,Paid in Full,24,144252.5,144252.5,0.0,U,Unanswered,CO-07,15.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,146239.98,08/25/2021
670692,9245497305,05/01/2020,"SEELEY INTERNATIONAL ACQUISITION CO., LTD.",4430 Glencoe st,80216-4510,07/22/2021,Paid in Full,24,144204.0,144204.0,0.0,U,Unanswered,CO-01,8.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,145699.64,05/24/2021
670727,8452007002,04/08/2020,FISHPOND CORP,275 Kalamath St,80223-1346,03/12/2021,Paid in Full,24,144000.0,144000.0,0.0,U,Existing or more than 2 years old,CO-01,11.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,145203.29,02/17/2021
670737,6350087102,04/14/2020,CRU DENVER LLLP,1442 LARIMER ST,80202-1705,02/11/2021,Paid in Full,24,143900.0,143900.0,0.0,U,Existing or more than 2 years old,CO-01,17.0,White,Not Hispanic or Latino,Partnership,Male Owned,Non-Veteran,144959.26,01/12/2021
670738,6663407103,04/14/2020,CODE 3 ENTERTAINMENT LLC,2034 LARIMER ST,80205-2015,08/21/2021,Paid in Full,24,143900.0,143900.0,0.0,U,Existing or more than 2 years old,CO-01,21.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,145267.05,03/26/2021
670744,4220468304,01/23/2021,QSI CONSULTING INC.,2500,80209,10/15/2021,Paid in Full,60,143872.5,143872.5,0.0,U,Existing or more than 2 years old,CO-01,6.0,White,Not Hispanic or Latino,Subchapter S Corporation,Male Owned,Non-Veteran,144711.76,09/08/2021
670758,4898547704,05/01/2020,TIMBERLAN SMALL BUSINESS GROUP,191 UNIVERSITY BLVD. SUITE 313,80206,06/09/2021,Paid in Full,24,143776.0,143776.0,0.0,U,Existing or more than 2 years old,CO-01,7.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,145201.94,05/04/2021
670786,2301347103,04/10/2020,RAINCATCHER LLC,7900 E UNION AVE STE 1100,80237-2705,09/16/2021,Paid in Full,24,143591.0,143591.0,0.0,U,New Business or 2 years or less,CO-01,8.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,145443.91,08/05/2021
670793,3587607206,04/27/2020,FINANCIAL DATA MANAGEMENT INC,1385 S. COLORADO BLVD A310,80222-3315,04/07/2021,Paid in Full,24,143500.0,143500.0,0.0,U,Existing or more than 2 years old,CO-01,11.0,White,Not Hispanic or Latino,Corporation,Female Owned,Non-Veteran,144715.76,03/03/2021
670800,9534697008,04/09/2020,TABLES LLC,2267 Kearney Street,80207-3921,05/26/2021,Paid in Full,24,143500.0,143500.0,0.0,U,Existing or more than 2 years old,CO-01,17.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,144946.96,04/20/2021
670801,9903797010,04/09/2020,FELLOWSHIP DENVER CHURCH,1990 SOUTH BROADWAY,80210-4005,12/11/2020,Paid in Full,24,143500.0,143500.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,144376.73,11/19/2020
670802,1508857302,04/28/2020,5280 PRODUCE INC.,1890 E 58th Ave.,80216,03/16/2021,Paid in Full,24,143485.0,143485.0,0.0,U,Existing or more than 2 years old,CO-01,16.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,144601.43,02/16/2021
670823,3087857204,04/16/2020,"QSI CONSULTING, INC.","2500 CHERRY CREEK DRIVE SOUTH, UNIT 319",80209,05/07/2021,Paid in Full,24,143300.0,143300.0,0.0,U,Unanswered,CO-01,6.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,144713.1,04/23/2021
670830,8344677704,05/01/2020,PRECISION MANAGEMENT LLC,1133 14TH ST,80202,,Exemption 4,24,143257.0,143257.0,0.0,U,Existing or more than 2 years old,CO-01,20.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,,
