,LoanNumber,DateApproved,BorrowerName,BorrowerAddress,BorrowerZip,LoanStatusDate,LoanStatus,Term,InitialApprovalAmount,BusinessAgeDescription,CD,JobsReported,Race,Ethnicity,BusinessType,Gender,Veteran,ForgivenessDate,category_title,rating,review_count,lat,lon,Yelp_Category
10,4952518508,2/26/2021,OPTIMAL HOME CARE,4380 S Syracuse St Ste 600,80237,1/14/2022,Paid in Full,60,2000000.0,Existing or more than 2 years old,CO-01,193.0,White,,Sole Proprietorship,Male Owned,Non-Veteran,1/10/2022,"Physical Therapy, Home Health Care, ",3.0,5,39.637339,-104.898715,Health
11,7672377005,4/8/2020,SEATTLE FISHPANY,6211 E. 42nd Ave.,80216,6/25/2021,Paid in Full,24,2205500.0,Existing or more than 2 years old,CO-01,181.0,,,Corporation,,,6/11/2021,"Seafood, Grocery, Seafood Markets, ",3.0,2,39.77487,-104.91568,Restaurants
12,2923648405,2/4/2021,SEATTLE FISHPANY,6211 E 42nd Ave,80216,12/24/2021,Paid in Full,60,2000000.0,Existing or more than 2 years old,CO-01,160.0,,,Corporation,,,10/25/2021,"Seafood, Grocery, Seafood Markets, ",3.0,2,39.77487,-104.91568,Restaurants
13,2807697100,4/11/2020,MOODY INSURANCE AGENCY,"8055 E. Tufts Ave, Suite 1000 0.0",80237,7/21/2021,Paid in Full,24,1858520.0,Existing or more than 2 years old,CO-01,112.0,,,Corporation,,,6/8/2021,"Home & Rental Insurance, Life Insurance, ",5.0,1,39.633081,-104.895661,Financial Services
14,7143067000,4/7/2020,MACHOL & JOHANNES,"700 17TH STREET, STE 200",80202,12/15/2020,Paid in Full,24,1829500.0,Existing or more than 2 years old,CO-01,161.0,,,Limited  Liability Company(LLC),,,11/12/2020,"Lawyers, ",1.0,4,39.74528885,-104.9907837,Professional Services
15,7594868402,2/12/2021,MACHOL & JOHANNES,700 17th St Ste 200,80202,11/11/2021,Paid in Full,60,1772951.0,Existing or more than 2 years old,CO-01,164.0,,,Limited  Liability Company(LLC),,,10/26/2021,"Lawyers, ",1.0,4,39.74528885,-104.9907837,Professional Services
16,2781728507,2/22/2021,BACHUS & SCHANKER,101 W Colfax Ave Ste 650,80202,8/17/2021,Paid in Full,60,1822490.0,Existing or more than 2 years old,CO-01,103.0,,,Limited  Liability Company(LLC),,,7/23/2021,"Personal Injury Law, ",3.0,71,39.740882,-104.988324,Professional Services
17,7549787004,4/7/2020,BACHUS & SCHANKER,101 W. Colfax Ave. Suite 650,80202,5/26/2021,Paid in Full,24,1793800.0,Existing or more than 2 years old,CO-01,100.0,,,Limited  Liability Company(LLC),,,4/22/2021,"Personal Injury Law, ",3.0,71,39.740882,-104.988324,Professional Services
18,8220677005,4/8/2020,BAYAUD ENTERPRISES,333 W Bayaud Ave,80223,12/18/2020,Paid in Full,24,1750337.5,Existing or more than 2 years old,CO-01,270.0,,,Professional Association,,,11/25/2020,"Community Service/Non-Profit, Shredding Services, ",5.0,3,39.71512,-104.99336,Professional Services
19,7785967306,4/30/2020,COLORADO LEGAL SERVICES,1905 N. SHERMAN STREET SUITE 400,80203,11/19/2021,Paid in Full,24,1575341.0,Existing or more than 2 years old,CO-01,118.0,,,Non-Profit Organization,,,10/4/2021,"Lawyers, ",1.0,4,39.74639511,-104.9852219,Professional Services
20,2128347109,4/10/2020,OPOLIS,3000 E Lawrence Street,80205,9/30/2021,Paid in Full,24,1529238.0,Existing or more than 2 years old,CO-01,333.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,9/27/2021,"Employment Agencies, Payroll Services, ",3.0,1,39.7567875,-104.9898699,Professional Services
21,4908628607,3/20/2021,OPOLIS,1624 Market St Ste 226,80202,,Exemption 4,60,1307963.0,Existing or more than 2 years old,CO-01,40.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,,"Employment Agencies, Payroll Services, ",3.0,1,39.7567875,-104.9898699,Professional Services
22,5185267109,4/13/2020,HARROW SPORTS,600 w BAYAUD AVE,80223,7/7/2021,Paid in Full,24,1443000.0,Existing or more than 2 years old,CO-01,184.0,,,Corporation,,,6/28/2021,"Sports Wear, ",2.0,5,39.71416092,-104.9955902,Fashion
23,4128758305,1/22/2021,DENVER MILK MARKET,1800 Wazee St Ste 100,80202,,Exemption 4,60,1421350.0,Existing or more than 2 years old,CO-01,159.0,,,Limited  Liability Company(LLC),,,,"Public Markets, Food Court, ",3.5,462,39.753113,-104.99728,Restaurants
24,5499647108,4/13/2020,DENVER MILK MARKET,1800 Wazee Street,80202,4/22/2021,Paid in Full,60,1130200.0,New Business or 2 years or less,CO-01,159.0,,,Limited  Liability Company(LLC),,,2/22/2021,"Public Markets, Food Court, ",3.5,462,39.753113,-104.99728,Restaurants
25,2561117209,4/16/2020,MILLER INTERNATIONAL,8500 Zuni St,80260,11/13/2021,Paid in Full,24,1323700.0,Existing or more than 2 years old,CO-07,73.0,,,Subchapter S Corporation,,,12/2/2020,"Men's Clothing, Women's Clothing, ",1.0,1,39.6891818,-104.971475,Fashion
26,4008307102,4/12/2020,WESTERN ORTHOPAEDICS,1830 Franklin St #450,80218,10/19/2021,Paid in Full,24,1204500.0,Existing or more than 2 years old,CO-01,75.0,,,Corporation,,,7/15/2021,"Orthopedists, ",3.0,77,39.74522,-104.9676314,Health
27,6694467102,4/14/2020,NATIONAL CREDIT CARE,1499 W 121ST AVE 300,80234,3/20/2021,Paid in Full,24,1090600.0,Existing or more than 2 years old,CO-07,88.0,,,Corporation,,,2/11/2021,"Financial Advising, ",1.5,53,39.83665119,-105.0370646,Financial Services
28,5606907001,4/6/2020,ALPINE HOMECARE,10200 E. GIRARD AVE STE A200,80231,3/18/2021,Paid in Full,24,1071700.0,Existing or more than 2 years old,CO-01,392.0,,,Limited  Liability Company(LLC),,,2/25/2021,"Home Health Care, ",3.5,3,39.65565,-104.867922,Health
29,5372897007,4/5/2020,ADVANCE HOA MANAGEMENT,3600 S. Yosemite Street Suite 400,80237,12/17/2020,Paid in Full,24,1021200.0,Existing or more than 2 years old,CO-01,90.0,,,Corporation,,,11/3/2020,"Homeowner Association, ",1.5,41,39.623158,-104.906967,Real Estate
30,6459598309,1/27/2021,TAVERNETTA,1889 16th St,80202,,Exemption 4,60,1006600.0,Existing or more than 2 years old,CO-01,111.0,,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,,"Italian, ",4.5,463,39.7531726,-105.002327,Restaurants
31,5259867203,4/27/2020,TAVERNETTA,1889 16TH ST MALL,80202,5/12/2021,Paid in Full,24,719000.0,Existing or more than 2 years old,CO-01,111.0,,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,5/6/2021,"Italian, ",4.5,463,39.7531726,-105.002327,Restaurants
32,7211917107,4/14/2020,DENVER ARTHRITIS CLINIC,"200 Spruce Street, Ste. 100",80230,1/15/2021,Paid in Full,24,950000.0,Existing or more than 2 years old,CO-01,72.0,,,Corporation,,,11/3/2020,"Rheumatologists, ",3.5,60,39.723857,-104.895996,Health
33,2591708609,3/15/2021,TIAGO TITLE,4700 S Syracuse St Ste 420,80237,3/19/2022,Paid in Full,60,865850.0,Existing or more than 2 years old,CO-01,67.0,,,Limited  Liability Company(LLC),,,1/28/2022,"Real Estate Services, ",3.0,2,39.62683591,-104.8984889,Real Estate
34,5331737009,4/5/2020,TIAGO TITLE,4700 South Syracuse Street Suite 420,80237,6/18/2021,Paid in Full,24,591800.0,Existing or more than 2 years old,CO-01,52.0,,,Limited  Liability Company(LLC),,,4/19/2021,"Real Estate Services, ",3.0,2,39.62683591,-104.8984889,Real Estate
35,2507167103,4/10/2020,NORTHEAST SEAFOOD PRODUCTS,"Northeast Seafood Products, Inc",80239,3/16/2021,Paid in Full,24,793082.12,Existing or more than 2 years old,CO-01,82.0,,,Corporation,,,2/11/2021,"Seafood, ",1.0,2,39.78092575,-104.8594742,Restaurants
36,2218178400,2/3/2021,NORTHEAST SEAFOOD PRODUCTS,4555 Kingston St,80239,12/9/2021,Paid in Full,60,663901.0,Existing or more than 2 years old,CO-01,70.0,,,Corporation,,,11/3/2021,"Seafood, ",1.0,2,39.78092575,-104.8594742,Restaurants
37,5862087003,4/6/2020,PORCHLIGHT REAL ESTATE GROUP,838 BROADWAY,80203,8/11/2021,Paid in Full,24,785500.0,Existing or more than 2 years old,CO-01,46.0,,,Limited  Liability Company(LLC),,,6/29/2021,"Real Estate Agents, Real Estate Services, ",4.5,188,39.72986,-104.98702,Real Estate
38,8624558301,1/29/2021,PORCHLIGHT REAL ESTATE GROUP,838 N Broadway,80203,,Exemption 4,60,748992.0,Existing or more than 2 years old,CO-01,46.0,,,Limited  Liability Company(LLC),,,,"Real Estate Agents, Real Estate Services, ",4.5,188,39.72986,-104.98702,Real Estate
39,9434918502,3/12/2021,INNER CITY HEALTH CENTER,3800 N York St,80205,,Exemption 4,60,779039.0,Existing or more than 2 years old,CO-01,56.0,White,Not Hispanic or Latino,Non-Profit Organization,Male Owned,Non-Veteran,3/28/2022,"Medical Centers, Dentists, Counseling & Mental Health, ",5.0,4,39.76945,-104.95926,Health
40,7223317003,4/7/2020,INNER CITY HEALTH CENTER,3800 N YORK ST,80205,6/12/2021,Paid in Full,24,757635.0,Existing or more than 2 years old,CO-01,67.0,,,Non-Profit Organization,,,5/13/2021,"Medical Centers, Dentists, Counseling & Mental Health, ",5.0,4,39.76945,-104.95926,Health
41,6176318306,1/26/2021,OSTERIA MARCO,1453 Larimer St,80202,,Exemption 4,60,767882.0,Existing or more than 2 years old,CO-01,74.0,,,Corporation,,,,"Italian, Pizza, Bars, ",4.0,1661,39.74819,-104.99897,Restaurants
42,9284177001,4/9/2020,OSTERIA MARCO,1453 Larimer Street,80202,4/20/2021,Paid in Full,60,599500.0,Existing or more than 2 years old,CO-01,74.0,,,Corporation,,,4/15/2021,"Italian, Pizza, Bars, ",4.0,1661,39.74819,-104.99897,Restaurants
43,7367977110,4/14/2020,AMERICAN DATABANK,110 16TH ST,80202,6/18/2021,Paid in Full,24,750000.0,Existing or more than 2 years old,CO-01,83.0,,,Limited  Liability Company(LLC),,,5/10/2021,"Private Investigation, ",1.0,7,39.74146935,-104.9877393,Professional Services
44,2664708404,2/3/2021,361 SERVICESRPORATED,4700 S Syracuse St Ste 800,80237,10/9/2021,Paid in Full,60,728400.0,Existing or more than 2 years old,CO-01,36.0,,,Subchapter S Corporation,,,8/23/2021,"Employment Agencies, ",1.0,1,39.7500799,-104.99681,Professional Services
45,6495247005,4/7/2020,361 SERVICESRPORATED,4700 S SYRACUSE ST STE 800,80237,2/24/2021,Paid in Full,24,728400.0,Existing or more than 2 years old,CO-01,36.0,,,Subchapter S Corporation,,,1/20/2021,"Employment Agencies, ",1.0,1,39.7500799,-104.99681,Professional Services
46,2444977101,4/10/2020,ZOCALOMUNITY DEVELOPMENT,455 SHERMAN ST Ste 205,80203,3/17/2021,Paid in Full,24,699100.0,Existing or more than 2 years old,CO-01,42.0,,,Corporation,,,2/24/2021,"Property Management, Real Estate Services, ",1.0,1,39.723317,-104.985349,Real Estate
47,1893258704,3/27/2021,JONES AND KELLER,1675 Broadway Fl 26,80202,2/10/2022,Paid in Full,60,647609.5,Existing or more than 2 years old,CO-01,37.0,,,Corporation,,,1/11/2022,"Bankruptcy Law, Business Law, Real Estate Law, ",1.0,1,39.7428978,-104.9875149,Professional Services
48,7918568305,1/28/2021,APPALOOSA GRILL,535 16th St Ste 110,80202,,Exemption 4,60,638446.0,Existing or more than 2 years old,CO-01,73.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,,"American (New), Bars, Steakhouses, ",4.0,971,39.7444359,-104.9909603,Restaurants
49,8739047000,4/8/2020,APPALOOSA GRILL,535  16TH ST STE 110,80202,10/13/2021,Paid in Full,24,422100.0,Existing or more than 2 years old,CO-01,73.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,9/21/2021,"American (New), Bars, Steakhouses, ",4.0,971,39.7444359,-104.9909603,Restaurants
50,6149677002,4/6/2020,AMERICAN LIBERTY MORTGAGE,1932 W 33rd Ave,80211,8/17/2021,Paid in Full,60,629200.0,Existing or more than 2 years old,CO-01,67.0,,,Corporation,Male Owned,Non-Veteran,8/5/2021,"Mortgage Brokers, Real Estate Services, ",4.0,31,39.7629481,-105.0102814,Real Estate
51,5505327005,4/5/2020,ASSOCIATES OF OTOLARYNGOLOGY,850 E Harvard Ave Ste 505,80210,5/7/2021,Paid in Full,24,591804.0,Existing or more than 2 years old,CO-01,60.0,,,Limited  Liability Company(LLC),,,4/26/2021,"Ear Nose & Throat, Allergists, Sleep Specialists, ",4.5,80,39.6702919,-104.9777454,Health
52,5505367006,4/5/2020,KEATING WAGNER POLIDORI FREE,"1290 Broadway, St. 600",80203,6/10/2021,Paid in Full,24,590400.0,Existing or more than 2 years old,CO-01,24.0,,,Corporation,,,5/21/2021,"Personal Injury Law, Workers Compensation Law, Wills, Trusts, & Probates, ",5.0,1,39.736743,-104.987013,Professional Services
53,2767388309,1/21/2021,NATIVE FOODS,4823 Lima St,80239,1/6/2022,Paid in Full,60,586599.75,Existing or more than 2 years old,CO-01,70.0,,,Limited  Liability Company(LLC),,,12/15/2021,"Vegan, Burgers, Salad, ",4.5,606,39.70468812,-104.9394167,Restaurants
54,9624847009,4/9/2020,NATIVE FOODS,4823 LIMA ST,80239,2/5/2021,Paid in Full,24,460400.0,Existing or more than 2 years old,CO-01,65.0,,,Limited  Liability Company(LLC),,,1/7/2021,"Vegan, Burgers, Salad, ",4.5,606,39.70468812,-104.9394167,Restaurants
55,3799337101,4/12/2020,PARTNERS IN PEDIATRICS,919 Jasmine,80220,2/10/2021,Paid in Full,24,583300.0,Existing or more than 2 years old,CO-01,48.0,,,Corporation,,,1/8/2021,"Pediatricians, ",3.0,43,39.73104,-104.91865,Health
56,4261748410,2/6/2021,PARTNERS IN PEDIATRICS,919 Jasmine St,80220,12/9/2021,Paid in Full,60,521672.0,Existing or more than 2 years old,CO-01,47.0,,,Corporation,,,11/5/2021,"Pediatricians, ",3.0,43,39.73104,-104.91865,Health
57,8284017005,4/8/2020,COLORADO OPHTHALMOLOGY ASSOCIATES,1666 So University Blvd,80210,4/2/2021,Paid in Full,24,554500.0,Existing or more than 2 years old,CO-01,44.0,,,Subchapter S Corporation,,,3/15/2021,"Optometrists, ",3.5,6,39.68649673,-104.9589615,Health
58,4121707106,4/12/2020,CHERRY CREEK PEDIATRICS,4900 E Kentucky Ave,80246,1/15/2021,Paid in Full,24,537700.0,Existing or more than 2 years old,CO-01,40.0,,,Corporation,,,11/27/2020,"Pediatricians, ",4.0,52,39.69968033,-104.9291306,Health
59,4317298406,2/6/2021,HOPS & PIE,3920 Tennyson St,80212,11/19/2021,Paid in Full,60,527400.0,Existing or more than 2 years old,CO-01,29.0,,,Limited  Liability Company(LLC),Male Owned,,10/19/2021,"Pizza, Beer Bar, Sandwiches, ",4.5,997,39.77136,-105.04369,Restaurants
60,4590017005,4/3/2020,HOPS & PIE,3920 TENNYSON ST,80212,2/24/2021,Paid in Full,24,306600.0,Existing or more than 2 years old,CO-01,29.0,,,Limited  Liability Company(LLC),Male Owned,,11/3/2020,"Pizza, Beer Bar, Sandwiches, ",4.5,997,39.77136,-105.04369,Restaurants
61,7679267010,4/8/2020,HERMES WORLDWIDE,6240 E 49th Dr,80222,3/19/2021,Paid in Full,24,521100.0,Existing or more than 2 years old,CO-01,49.0,,Hispanic or Latino,Corporation,Male Owned,Non-Veteran,2/26/2021,"Airport Shuttles, Limos, Party Bus Rentals, ",3.5,5,39.7848589,-104.9157903,Transport
62,7928898303,1/28/2021,IMAGE AUDIOVISUALS,2130 S Dahlia St,80222,3/19/2022,Paid in Full,60,517600.0,Existing or more than 2 years old,CO-01,33.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,2/15/2022,"Video/Film Production, ",3.5,2,39.67778,-104.9309,Professional Services
63,8818747007,4/8/2020,IMAGE AUDIOVISUALS,2130 S Dahlia St,80222,6/15/2021,Paid in Full,24,548500.0,Existing or more than 2 years old,CO-01,39.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,5/24/2021,"Video/Film Production, ",3.5,2,39.67778,-104.9309,Professional Services
64,1301128403,2/1/2021,FREEMAN SIGNS,3883 Monaco Pkwy,80207,2/12/2022,Paid in Full,60,517450.0,Existing or more than 2 years old,CO-01,47.0,,,Corporation,,,10/20/2021,"Signmaking, ",5.0,1,39.77058,-104.91367,Professional Services
65,3659897201,4/27/2020,JUDICIAL ARBITER GROUP,1601 Blake Street Suite 400,80202,2/10/2021,Paid in Full,24,510575.0,Existing or more than 2 years old,CO-01,29.0,,,Corporation,,,1/25/2021,"Mediators, ",3.0,4,39.75091171,-104.9991531,Professional Services
66,6157518301,1/26/2021,EUROPTICS,100 Fillmore St Ste LL02,80206,10/20/2021,Paid in Full,60,502124.0,Existing or more than 2 years old,CO-01,34.0,,,Corporation,,,9/7/2021,"Eyewear & Opticians, Optometrists, ",4.0,77,39.71839,-104.95305,Health
67,5038987004,4/4/2020,EUROPTICS,100 Fillmore St suite LL02,80206,3/20/2021,Paid in Full,24,502000.0,Existing or more than 2 years old,CO-01,34.0,,,Corporation,,,12/15/2020,"Eyewear & Opticians, Optometrists, ",4.0,77,39.71839,-104.95305,Health
68,5576547009,4/5/2020,RAZOR TECHNICAL STAFFING,350 CLAYTON ST STE C,80206,6/12/2021,Paid in Full,24,499200.0,Existing or more than 2 years old,CO-01,49.0,,,Corporation,Female Owned,,5/27/2021,"Employment Agencies, ",5.0,1,39.72196,-104.95549,Professional Services
69,9570678507,3/12/2021,RAZOR TECHNICAL STAFFING,350 Clayton St Unit C,80206,12/8/2021,Paid in Full,60,499200.0,Existing or more than 2 years old,CO-01,62.0,,,Corporation,Female Owned,Non-Veteran,11/5/2021,"Employment Agencies, ",5.0,1,39.72196,-104.95549,Professional Services
70,5932278309,1/26/2021,MI CASA RESOURCE CENTER,345 S Grove St,80219,,Exemption 4,60,488587.0,Existing or more than 2 years old,CO-01,37.0,,,Non-Profit Organization,,,,"Community Service/Non-Profit, Business Consulting, Career Counseling, ",4.5,2,39.7108099,-105.026725,Professional Services
71,4606777103,4/13/2020,MI CASA RESOURCE CENTER,345 S Grove St,80219,1/21/2021,Paid in Full,24,487425.0,,CO-01,35.0,,,Non-Profit Organization,,,12/31/2020,"Community Service/Non-Profit, Business Consulting, Career Counseling, ",4.5,2,39.7108099,-105.026725,Professional Services
72,7402067006,4/7/2020,TOPO DESIGNS,2399 Blake St. #125,80223,12/15/2020,Paid in Full,24,482200.0,Existing or more than 2 years old,CO-01,42.0,,,Limited  Liability Company(LLC),,,11/5/2020,"Accessories, Sports Wear, Outdoor Gear, ",4.0,30,39.758127,-104.986106,Fashion
73,1446507110,4/10/2020,CUBA CUBA SANDWICHERIA,870 BONNIE BRAE BLVD,80209,12/15/2020,Paid in Full,24,476000.0,Existing or more than 2 years old,CO-01,50.0,,,Limited  Liability Company(LLC),,,11/12/2020,"Cuban, Cocktail Bars, Caribbean, ",3.5,342,39.70537483,-104.939004,Restaurants
74,3129197108,4/11/2020,CHILDS MCCUNE,"821 17th Street, Suite 500",80202,12/15/2020,Paid in Full,24,472900.0,Existing or more than 2 years old,CO-01,24.0,,,Limited  Liability Company(LLC),,,11/3/2020,"Legal Services, General Litigation, ",5.0,1,39.74746323,-104.9922104,Professional Services
75,1128837305,4/28/2020,INK!FEE,2851 Larimer Street,80205,,Exemption 4,24,459382.5,Existing or more than 2 years old,CO-01,42.0,,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,12/22/2021,"Coffee & Tea, Sandwiches, Cafes, ",3.5,20,39.74770554,-104.989788,Restaurants
76,4866927107,4/13/2020,GALPERIN & ASSOCIATES,3773 E Cherry Creek North Drive STE 701,80209,2/12/2021,Paid in Full,24,450400.0,,CO-01,19.0,,,Subchapter S Corporation,,,1/20/2021,"Personal Injury Law, ",4.0,4,39.708875,-104.942263,Professional Services
77,4585438309,1/23/2021,PROCTOR PRODUCTIONS,501 Raritan Way,80204,9/30/2021,Paid in Full,60,445727.5,Existing or more than 2 years old,CO-01,39.0,,,Corporation,Male Owned,Non-Veteran,9/1/2021,"Marketing, Graphic Design, ",4.0,1,39.7245102,-105.0099792,Professional Services
78,5593437002,4/5/2020,PROCTOR PRODUCTIONS,501 Raritan Way,80204,2/19/2021,Paid in Full,24,347200.0,Existing or more than 2 years old,CO-01,39.0,,,Corporation,Male Owned,Non-Veteran,1/28/2021,"Marketing, Graphic Design, ",4.0,1,39.7245102,-105.0099792,Professional Services
79,8763587009,4/8/2020,MILE HIGH FAMILY MEDICINE,7444 W. Alaska Dr. Suite 20000000,80226,2/20/2021,Paid in Full,24,444100.0,Existing or more than 2 years old,CO-07,45.0,,,Corporation,,,1/7/2021,"Family Practice, ",3.0,52,39.70902794,-105.0802102,Health
80,6069277000,4/6/2020,RIO REAL ESTATE,200 Lipan,80223,2/23/2021,Paid in Full,24,436100.0,Existing or more than 2 years old,CO-01,33.0,,,Limited  Liability Company(LLC),,,1/11/2021,"Real Estate Services, Commercial Real Estate, ",3.5,37,39.71975,-105.00119,Real Estate
81,7972417703,5/1/2020,SOUND CLINIC,2460 W 26th Ave Ste 420C,80211,2/11/2022,Paid in Full,24,431800.0,Existing or more than 2 years old,CO-01,20.0,,,Subchapter S Corporation,,,1/11/2022,"Naturopathic/Holistic, Family Practice, ",4.0,53,39.7539209,-105.0173879,Health
82,2105867207,4/15/2020,IDEAL HOME LOANS,7900 E UNION AVE SUITE 300,80237,8/7/2021,Paid in Full,24,429600.0,Existing or more than 2 years old,CO-01,32.0,,,Limited  Liability Company(LLC),,,7/1/2021,"Mortgage Brokers, ",3.5,17,39.62766,-104.89609,Real Estate
83,2409598302,1/20/2021,ACE EAT SERVE,501 E 17th Ave,80203,10/15/2021,Paid in Full,60,429366.0,Existing or more than 2 years old,CO-01,25.0,,,Corporation,Male Owned,Non-Veteran,9/14/2021,"Bars, Asian Fusion, Ramen, ",3.5,828,39.7435,-104.98074,Restaurants
84,8451757002,4/8/2020,ACE EAT SERVE,523 E 17TH AVE,80203,3/19/2021,Paid in Full,24,351537.0,Existing or more than 2 years old,CO-01,38.0,,,Corporation,Male Owned,Non-Veteran,12/2/2020,"Bars, Asian Fusion, Ramen, ",3.5,828,39.7435,-104.98074,Restaurants
85,6357857002,4/6/2020,IMAGESELLER,414 14TH ST STE 150,80202,2/6/2021,Paid in Full,24,425000.0,Existing or more than 2 years old,CO-01,32.0,,,Limited  Liability Company(LLC),,,12/28/2020,"Marketing, Advertising, Graphic Design, ",1.0,1,39.74122,-104.9926,Professional Services
86,6709388407,2/10/2021,IMAGESELLER,414 14th St Ste 150,80202,10/9/2021,Paid in Full,60,425000.0,Existing or more than 2 years old,CO-01,27.0,,,Limited  Liability Company(LLC),,,8/18/2021,"Marketing, Advertising, Graphic Design, ",1.0,1,39.74122,-104.9926,Professional Services
87,5908598104,7/20/2020,OVERTURF MCGATH & HULL,625 16TH AVE E,80203,1/22/2021,Paid in Full,60,417912.0,Existing or more than 2 years old,CO-01,23.0,,,Subchapter S Corporation,Male Owned,Non-Veteran,12/10/2020,"General Litigation, Personal Injury Law, Employment Law, ",5.0,1,39.74180783,-104.9790535,Professional Services
88,2145368407,2/3/2021,CATTIVELLA,10195 E 29th Dr Ste 110,80238,1/7/2022,Paid in Full,60,415401.0,Existing or more than 2 years old,CO-01,20.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Non-Veteran,12/23/2021,"Italian, Wine Bars, Cooking Classes, ",4.0,358,39.759291,-104.868494,Restaurants
89,3214567106,4/11/2020,CATTIVELLA,10195 E 29TH DR,80238,7/9/2021,Paid in Full,24,292300.0,Existing or more than 2 years old,CO-01,48.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Non-Veteran,6/15/2021,"Italian, Wine Bars, Cooking Classes, ",4.0,358,39.759291,-104.868494,Restaurants
90,7282997400,5/16/2020,COLORADO ENTERPRISE FUND,1888 SHERMAN ST SUITE 530,80203,11/18/2021,Paid in Full,24,409506.0,Existing or more than 2 years old,CO-01,28.0,,,Non-Profit Organization,,,10/18/2021,"Mortgage Brokers, Marketing, Financial Services, ",2.0,1,39.74587,-104.98443,Real Estate
